,HH7,MWB6A,level_of_education_per_region,urban_rural,MWB6A_name
0,1,1.0,0.2878787878787879,urban,Primary
1,1,2.0,0.2878787878787879,urban,Lower Secondary
2,1,3.0,0.4090909090909091,urban,Higher Secondary
3,1,4.0,0.015151515151515152,urban,Higher
4,2,1.0,0.10204081632653061,urban,Primary
5,2,2.0,0.40816326530612246,urban,Lower Secondary
6,2,3.0,0.46938775510204084,urban,Higher Secondary
7,2,4.0,0.02040816326530612,urban,Higher
8,4,1.0,0.048,urban,Primary
9,4,2.0,0.192,urban,Lower Secondary
10,4,3.0,0.432,urban,Higher Secondary
11,4,4.0,0.32,urban,Higher
12,4,9.0,0.008,urban,Don't Know
13,6,1.0,0.10909090909090909,urban,Primary
14,6,2.0,0.16363636363636364,urban,Lower Secondary
15,6,3.0,0.5909090909090909,urban,Higher Secondary
16,6,4.0,0.10909090909090909,urban,Higher
17,6,9.0,0.02727272727272727,urban,Don't Know
18,7,1.0,0.05454545454545454,urban,Primary
19,7,2.0,0.18181818181818182,urban,Lower Secondary
20,7,3.0,0.7272727272727273,urban,Higher Secondary
21,7,4.0,0.03636363636363636,urban,Higher
22,9,1.0,0.16129032258064516,urban,Primary
23,9,2.0,0.1935483870967742,urban,Lower Secondary
24,9,3.0,0.45161290322580644,urban,Higher Secondary
25,9,4.0,0.1935483870967742,urban,Higher
26,10,1.0,0.009009009009009009,urban,Primary
27,10,2.0,0.1891891891891892,urban,Lower Secondary
28,10,3.0,0.46846846846846846,urban,Higher Secondary
29,10,4.0,0.3333333333333333,urban,Higher
30,1,1.0,0.18796992481203006,rural,Primary
31,1,2.0,0.3233082706766917,rural,Lower Secondary
32,1,3.0,0.44360902255639095,rural,Higher Secondary
33,1,4.0,0.045112781954887216,rural,Higher
34,2,0.0,0.006756756756756757,rural,Nursery
35,2,1.0,0.16216216216216217,rural,Primary
36,2,2.0,0.2972972972972973,rural,Lower Secondary
37,2,3.0,0.46621621621621623,rural,Higher Secondary
38,2,4.0,0.06756756756756757,rural,Higher
39,3,0.0,0.007326007326007326,rural,Nursery
40,3,1.0,0.10256410256410256,rural,Primary
41,3,2.0,0.29304029304029305,rural,Lower Secondary
42,3,3.0,0.4139194139194139,rural,Higher Secondary
43,3,4.0,0.18315018315018314,rural,Higher
44,4,0.0,0.0072992700729927005,rural,Nursery
45,4,1.0,0.12773722627737227,rural,Primary
46,4,2.0,0.21532846715328466,rural,Lower Secondary
47,4,3.0,0.4927007299270073,rural,Higher Secondary
48,4,4.0,0.15693430656934307,rural,Higher
49,5,1.0,0.13432835820895522,rural,Primary
50,5,2.0,0.22388059701492538,rural,Lower Secondary
51,5,3.0,0.472636815920398,rural,Higher Secondary
52,5,4.0,0.15920398009950248,rural,Higher
53,5,9.0,0.009950248756218905,rural,Don't Know
54,6,0.0,0.004310344827586207,rural,Nursery
55,6,1.0,0.19827586206896552,rural,Primary
56,6,2.0,0.27155172413793105,rural,Lower Secondary
57,6,3.0,0.41379310344827586,rural,Higher Secondary
58,6,4.0,0.09482758620689655,rural,Higher
59,6,9.0,0.017241379310344827,rural,Don't Know
60,7,1.0,0.1694915254237288,rural,Primary
61,7,2.0,0.2542372881355932,rural,Lower Secondary
62,7,3.0,0.5084745762711864,rural,Higher Secondary
63,7,4.0,0.06779661016949153,rural,Higher
64,8,0.0,0.008547008547008548,rural,Nursery
65,8,1.0,0.26495726495726496,rural,Primary
66,8,2.0,0.15384615384615385,rural,Lower Secondary
67,8,3.0,0.49572649572649574,rural,Higher Secondary
68,8,4.0,0.07692307692307693,rural,Higher
69,9,1.0,0.22077922077922077,rural,Primary
70,9,2.0,0.2922077922077922,rural,Lower Secondary
71,9,3.0,0.44805194805194803,rural,Higher Secondary
72,9,4.0,0.032467532467532464,rural,Higher
73,9,9.0,0.006493506493506494,rural,Don't Know
74,10,1.0,0.027777777777777776,rural,Primary
75,10,2.0,0.19444444444444445,rural,Lower Secondary
76,10,3.0,0.6111111111111112,rural,Higher Secondary
77,10,4.0,0.16666666666666666,rural,Higher
